id,preferred
055044-wales,055044-wales
055044-midland,055044
055044-midlands,055044
67042-wales,67042-wales
067042-north_west,067042
67043-wales,67043-wales
067043-north_west,067043
4063TH-southern,4063TH-southern
4063TH-thames,4063TH-thames
4171TH-southern,4171TH-southern
4171TH-thames,4171TH-thames
E1901-anglian,E1901-anglian
E1901-southern,E1901-southern
E22300-anglian,E22300-anglian
E22300-southern,E22300-southern
E2900-anglian,E2900-anglian
E2900-southern,E2900-southern
E6120-anglian,E6120-anglian
E6120-southern,E6120-southern
E70139-anglian,E70139-anglian
E70139-north_west,E70139-north_west
E73439-anglian,E73439-anglian
E73439-north_west,E73439-north_west
E73639-anglian,E73639-anglian
E73639-north_west,E73639-north_west
